run_id,ts,config,model,weight_dtype,kv_dtype,phase,max_model_len,server_ready,verdict,kv_cache_tokens,kv_gib,elapsed_s,gpu,error_line,log,note
20260830-175957-m1-qwen-bf16,2026-08-30T18:00:35.657161+08:00,qwen-bf16,Qwen/Qwen2.5-7B-Instruct-1M,BF16,auto,measure,8192,False,FAIL,,,38.0,0,(EngineCore pid=670910) ERROR 08-30 18:00:30 [core.py:1346] TypeError: FlashAttentionImpl.__init__() got an unexpected keyword argument 'layer_idx',/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-qwen-bf16/measure/server.log,主力模型的 BF16 基準（敏感度分析用）
20260830-175957-m1-qwen-bf16-kvfp8,2026-08-30T18:00:35.659800+08:00,qwen-bf16-kvfp8,Qwen/Qwen2.5-7B-Instruct-1M,BF16,fp8,measure,8192,False,FAIL,,,38.0,1,(EngineCore pid=670896) ERROR 08-30 18:00:30 [core.py:1346] TypeError: FlashInferImpl.__init__() got an unexpected keyword argument 'layer_idx',/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-qwen-bf16-kvfp8/measure/server.log,sm_86 無原生 FP8。此設定用來『量出 vLLM 實際接不接受』，不是假設。
20260830-175957-m1-llama-bf16,2026-08-30T18:01:12.392781+08:00,llama-bf16,NousResearch/Meta-Llama-3.1-8B-Instruct,BF16,auto,measure,8192,True,OK,41648,5.084,74.8,2,,/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-llama-bf16/measure/server.log,對照模型，κ 與 Qwen 差 2 倍
20260830-175957-m1-llama-bf16,2026-08-30T18:02:15.151761+08:00,llama-bf16,NousResearch/Meta-Llama-3.1-8B-Instruct,BF16,auto,verify_at,41648,True,OK,41648,5.084,62.8,2,,/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-llama-bf16/verify_at/server.log,對照模型，κ 與 Qwen 差 2 倍
20260830-175957-m1-llama-bf16,2026-08-30T18:03:07.173737+08:00,llama-bf16,NousResearch/Meta-Llama-3.1-8B-Instruct,BF16,auto,verify_over,47895,False,OK_FAILED_AS_EXPECTED,,,52.0,2,(EngineCore pid=676459) ERROR 08-30 18:03:01 [core.py:1346]     raise ValueError(,/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-llama-bf16/verify_over/server.log,對照模型，κ 與 Qwen 差 2 倍
20260830-175957-m1-llama-bf16-kvfp8,2026-08-30T18:01:32.454822+08:00,llama-bf16-kvfp8,NousResearch/Meta-Llama-3.1-8B-Instruct,BF16,fp8,measure,8192,True,OK,83312,5.085,94.8,3,,/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-llama-bf16-kvfp8/measure/server.log,同上，驗證 Ampere 的 KV dtype 支援度
20260830-175957-m1-llama-bf16-kvfp8,2026-08-30T18:02:33.209264+08:00,llama-bf16-kvfp8,NousResearch/Meta-Llama-3.1-8B-Instruct,BF16,fp8,verify_at,83312,True,OK,83312,5.085,60.8,3,,/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-llama-bf16-kvfp8/verify_at/server.log,同上，驗證 Ampere 的 KV dtype 支援度
20260830-175957-m1-llama-bf16-kvfp8,2026-08-30T18:03:25.233004+08:00,llama-bf16-kvfp8,NousResearch/Meta-Llama-3.1-8B-Instruct,BF16,fp8,verify_over,95808,False,OK_FAILED_AS_EXPECTED,,,52.0,3,(EngineCore pid=677375) ERROR 08-30 18:03:18 [core.py:1346]     raise ValueError(,/ssd7/hungwei/paper-hkv/runs/20260830-175957-m1-llama-bf16-kvfp8/verify_over/server.log,同上，驗證 Ampere 的 KV dtype 支援度
20260830-180531-m1-qwen-bf16,2026-08-30T18:06:26.566719+08:00,qwen-bf16,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-noDCA,BF16,auto,measure,8192,True,OK,106512,5.688,54.7,0,,/ssd7/hungwei/paper-hkv/runs/20260830-180531-m1-qwen-bf16/measure/server.log,主力模型的 BF16 基準（敏感度分析用）
20260830-180531-m1-qwen-bf16,2026-08-30T18:07:19.260247+08:00,qwen-bf16,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-noDCA,BF16,auto,verify_at,106512,True,OK,106512,5.688,52.7,0,,/ssd7/hungwei/paper-hkv/runs/20260830-180531-m1-qwen-bf16/verify_at/server.log,主力模型的 BF16 基準（敏感度分析用）
20260830-180531-m1-qwen-bf16,2026-08-30T18:08:05.282338+08:00,qwen-bf16,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-noDCA,BF16,auto,verify_over,122488,False,OK_FAILED_AS_EXPECTED,,,46.0,0,(EngineCore pid=686541) ERROR 08-30 18:08:00 [core.py:1346]     raise ValueError(,/ssd7/hungwei/paper-hkv/runs/20260830-180531-m1-qwen-bf16/verify_over/server.log,主力模型的 BF16 基準（敏感度分析用）
20260830-180531-m1-qwen-bf16-kvfp8,2026-08-30T18:06:26.772439+08:00,qwen-bf16-kvfp8,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-noDCA,BF16,fp8,measure,8192,True,OK,213040,5.689,54.9,1,,/ssd7/hungwei/paper-hkv/runs/20260830-180531-m1-qwen-bf16-kvfp8/measure/server.log,sm_86 無原生 FP8。此設定用來『量出 vLLM 實際接不接受』，不是假設。
20260830-180531-m1-qwen-bf16-kvfp8,2026-08-30T18:07:19.566877+08:00,qwen-bf16-kvfp8,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-noDCA,BF16,fp8,verify_at,213040,True,OK,213040,5.689,52.8,1,,/ssd7/hungwei/paper-hkv/runs/20260830-180531-m1-qwen-bf16-kvfp8/verify_at/server.log,sm_86 無原生 FP8。此設定用來『量出 vLLM 實際接不接受』，不是假設。
20260830-180531-m1-qwen-bf16-kvfp8,2026-08-30T18:08:05.589212+08:00,qwen-bf16-kvfp8,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-noDCA,BF16,fp8,verify_over,244995,False,OK_FAILED_AS_EXPECTED,,,46.0,1,(EngineCore pid=686534) ERROR 08-30 18:08:00 [core.py:1346]     raise ValueError(,/ssd7/hungwei/paper-hkv/runs/20260830-180531-m1-qwen-bf16-kvfp8/verify_over/server.log,sm_86 無原生 FP8。此設定用來『量出 vLLM 實際接不接受』，不是假設。
20260830-224248-m1-mla-awq,2026-08-30T22:44:25.289846+08:00,mla-awq,TechxGenus/DeepSeek-V2-Lite-Chat-AWQ,AWQ-INT4,auto,measure,8192,True,OK,399376,,96.8,0,,/ssd7/hungwei/paper-hkv/runs/20260830-224248-m1-mla-awq/measure/server.log,MLA 架構，KV/token 只有 GQA 的 1/4.2
20260830-224248-m1-mla-awq,2026-08-30T22:44:37.298182+08:00,mla-awq,TechxGenus/DeepSeek-V2-Lite-Chat-AWQ,AWQ-INT4,auto,verify_at,399376,False,UNEXPECTED_FAIL,,,12.0,0,(APIServer pid=1153051) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,/ssd7/hungwei/paper-hkv/runs/20260830-224248-m1-mla-awq/verify_at/server.log,MLA 架構，KV/token 只有 GQA 的 1/4.2
20260830-224248-m1-mla-awq,2026-08-30T22:44:49.306259+08:00,mla-awq,TechxGenus/DeepSeek-V2-Lite-Chat-AWQ,AWQ-INT4,auto,verify_over,459282,False,OK_FAILED_AS_EXPECTED,,,12.0,0,(APIServer pid=1153371) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,/ssd7/hungwei/paper-hkv/runs/20260830-224248-m1-mla-awq/verify_over/server.log,MLA 架構，KV/token 只有 GQA 的 1/4.2
20260830-224449-m1-mla-awq-kvfp8,2026-08-30T22:45:19.416300+08:00,mla-awq-kvfp8,TechxGenus/DeepSeek-V2-Lite-Chat-AWQ,AWQ-INT4,fp8,measure,8192,False,FAIL,,,30.0,0,(EngineCore pid=1154260) ERROR 08-30 22:45:15 [core.py:1346]     raise ValueError(,/ssd7/hungwei/paper-hkv/runs/20260830-224449-m1-mla-awq-kvfp8/measure/server.log,MLA + FP8 KV，容量的理論上限
20260830-232507-m1-llama-awq,2026-08-30T23:26:21.989023+08:00,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,AWQ-INT4,auto,measure,8192,True,OK,120320,,74.8,0,,False,/ssd7/hungwei/paper-hkv/runs/20260830-232507-m1-llama-awq/measure/server.log,"對照組主力。推估容量 ~122K，模型上限 131,072"
20260830-232507-m1-llama-awq,2026-08-30T23:27:30.787824+08:00,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,AWQ-INT4,auto,verify_at,120320,True,OK,120320,,68.8,0,,False,/ssd7/hungwei/paper-hkv/runs/20260830-232507-m1-llama-awq/verify_at/server.log,"對照組主力。推估容量 ~122K，模型上限 131,072"
20260830-232507-m1-llama-awq,2026-08-30T23:27:44.798213+08:00,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,AWQ-INT4,auto,verify_over,138368,False,OK_FAILED_AS_EXPECTED,,,14.0,0,(APIServer pid=1198471) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-232507-m1-llama-awq/verify_over/server.log,"對照組主力。推估容量 ~122K，模型上限 131,072"
20260830-232744-m1-llama-awq-kvfp8,2026-08-30T23:29:17.821437+08:00,llama-awq-kvfp8,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,AWQ-INT4,fp8,measure,8192,True,OK,240656,,92.9,0,,False,/ssd7/hungwei/paper-hkv/runs/20260830-232744-m1-llama-awq-kvfp8/measure/server.log,"推估容量 ~244K > 模型上限 131,072 → 可跑滿 128K"
20260830-232744-m1-llama-awq-kvfp8,2026-08-30T23:29:29.829528+08:00,llama-awq-kvfp8,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,AWQ-INT4,fp8,verify_at,240656,False,UNEXPECTED_FAIL,,,12.0,0,(APIServer pid=1200505) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-232744-m1-llama-awq-kvfp8/verify_at/server.log,"推估容量 ~244K > 模型上限 131,072 → 可跑滿 128K"
20260830-232744-m1-llama-awq-kvfp8,2026-08-30T23:29:43.838717+08:00,llama-awq-kvfp8,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,AWQ-INT4,fp8,verify_over,276754,False,OK_FAILED_AS_EXPECTED,,,14.0,0,(APIServer pid=1200710) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-232744-m1-llama-awq-kvfp8/verify_over/server.log,"推估容量 ~244K > 模型上限 131,072 → 可跑滿 128K"
20260830-232943-m1-qwen-awq,2026-08-30T23:30:42.726541+08:00,qwen-awq,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,auto,measure,8192,True,OK,273872,,58.8,0,,False,/ssd7/hungwei/paper-hkv/runs/20260830-232943-m1-qwen-awq/measure/server.log,"主力設定。推估容量 ~282K，模型上限 262,144（移除 DCA 後）"
20260830-232943-m1-qwen-awq,2026-08-30T23:30:54.735253+08:00,qwen-awq,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,auto,verify_at,273872,False,UNEXPECTED_FAIL,,,12.0,0,(APIServer pid=1202611) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-232943-m1-qwen-awq/verify_at/server.log,"主力設定。推估容量 ~282K，模型上限 262,144（移除 DCA 後）"
20260830-232943-m1-qwen-awq,2026-08-30T23:31:06.743296+08:00,qwen-awq,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,auto,verify_over,314952,False,OK_FAILED_AS_EXPECTED,,,12.0,0,(APIServer pid=1202839) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-232943-m1-qwen-awq/verify_over/server.log,"主力設定。推估容量 ~282K，模型上限 262,144（移除 DCA 後）"
20260830-233106-m1-qwen-awq-kvfp8,2026-08-30T23:32:03.585867+08:00,qwen-awq-kvfp8,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,measure,8192,True,OK,547744,,56.8,0,,False,/ssd7/hungwei/paper-hkv/runs/20260830-233106-m1-qwen-awq-kvfp8/measure/server.log,推估容量 ~565K > 模型上限 → 記憶體不再是瓶頸
20260830-233106-m1-qwen-awq-kvfp8,2026-08-30T23:32:15.594747+08:00,qwen-awq-kvfp8,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,verify_at,547744,False,UNEXPECTED_FAIL,,,12.0,0,(APIServer pid=1204325) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-233106-m1-qwen-awq-kvfp8/verify_at/server.log,推估容量 ~565K > 模型上限 → 記憶體不再是瓶頸
20260830-233106-m1-qwen-awq-kvfp8,2026-08-30T23:32:27.603138+08:00,qwen-awq-kvfp8,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,verify_over,629905,False,OK_FAILED_AS_EXPECTED,,,12.0,0,(APIServer pid=1204550) pydantic_core._pydantic_core.ValidationError: 1 validation error for ModelConfig,False,/ssd7/hungwei/paper-hkv/runs/20260830-233106-m1-qwen-awq-kvfp8/verify_over/server.log,推估容量 ~565K > 模型上限 → 記憶體不再是瓶頸
20260830-233227-m1-qwen-awq-512k,2026-08-30T23:33:24.544158+08:00,qwen-awq-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,measure,524288,True,OK,547744,,56.9,0,,True,/ssd7/hungwei/paper-hkv/runs/20260830-233227-m1-qwen-awq-512k/measure/server.log,🔴 外推到 512K：只驗容量與時間，品質無效（RoPE 超界會 NaN）
20260830-233227-m1-qwen-awq-512k,2026-08-30T23:34:16.567782+08:00,qwen-awq-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,verify_at,547744,False,UNEXPECTED_FAIL,,,52.0,0,(EngineCore pid=1206535) ERROR 08-30 23:34:11 [core.py:1346]     raise ValueError(,True,/ssd7/hungwei/paper-hkv/runs/20260830-233227-m1-qwen-awq-512k/verify_at/server.log,🔴 外推到 512K：只驗容量與時間，品質無效（RoPE 超界會 NaN）
20260830-233227-m1-qwen-awq-512k,2026-08-30T23:35:12.592078+08:00,qwen-awq-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,verify_over,629905,False,OK_FAILED_AS_EXPECTED,,,56.0,0,(EngineCore pid=1207631) ERROR 08-30 23:35:06 [core.py:1346]     raise ValueError(,True,/ssd7/hungwei/paper-hkv/runs/20260830-233227-m1-qwen-awq-512k/verify_over/server.log,🔴 外推到 512K：只驗容量與時間，品質無效（RoPE 超界會 NaN）
20260830-233814-m1-qwen-awq-512k,2026-08-30T23:38:57.223206+08:00,qwen-awq-512k,/ssd7/hungwei/paper-hkv/models/Qwen2.5-7B-Instruct-1M-AWQ-noDCA,AWQ-INT4,fp8,measure,524288,True,OK,577152,,42.9,0,,True,/ssd7/hungwei/paper-hkv/runs/20260830-233814-m1-qwen-awq-512k/measure/server.log,🔴 外推到 512K：只驗容量與時間，品質無效（RoPE 超界會 NaN）
